user_id,user_gender,user_age,buy_count,cheese_texture,cheese_one_price,age_group,cheese_category_code,cheese_texture_code
1345123,1,40,2,후레쉬치즈,"14,900원",2.0,11,1
6363008,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
5503262,1,30,1,후레쉬치즈,"4,600원",1.0,3,1
3930254,0,20,1,소프트치즈,"4,165원",,7,4
5030245,1,40,10,후레쉬치즈,"14,900원",2.0,11,1
4451213,1,20,1,후레쉬치즈,"3,870원",,1,1
6491637,1,40,1,후레쉬치즈,"4,900원",2.0,1,1
3411894,1,30,1,후레쉬치즈,"14,900원",1.0,11,1
4709547,1,50,2,하드치즈,"7,200원",3.0,10,3
6040124,1,50,2,후레쉬치즈,"9,600원",3.0,1,1
188412,1,40,1,후레쉬치즈,"6,240원",2.0,1,1
6391149,1,50,1,세미하드치즈,"7,600원",3.0,2,2
5899862,1,30,2,후레쉬치즈,"14,900원",1.0,11,1
3166660,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
5105029,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
5886717,1,40,1,후레쉬치즈,"14,900원",2.0,11,1
4690950,1,20,1,후레쉬치즈,"3,990원",,1,1
4409785,1,30,1,소프트치즈,"8,400원",1.0,8,4
3075736,1,30,1,소프트치즈,"6,400원",1.0,2,4
4471825,0,50,1,후레쉬치즈,"6,600원",3.0,11,1
2163081,0,30,2,후레쉬치즈,"6,860원",1.0,3,1
6494200,1,20,2,후레쉬치즈,"3,990원",,1,1
5290796,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
3633936,0,30,1,후레쉬치즈,"11,900원",1.0,3,1
3735360,1,40,1,소프트치즈,"5,130원",2.0,8,4
2465001,1,40,1,후레쉬치즈,"3,990원",2.0,1,1
577020,0,20,1,후레쉬치즈,"14,900원",,11,1
6539764,0,40,1,후레쉬치즈,"3,870원",2.0,1,1
1853196,1,40,1,세미하드,"4,900원",2.0,4,2
2119905,0,40,1,후레쉬치즈,"3,870원",2.0,1,1
4002544,1,20,1,후레쉬치즈,"6,800원",,1,1
5315205,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
6269743,1,30,2,후레쉬치즈,"7,900원",1.0,11,1
5744181,1,50,4,후레쉬치즈,"3,870원",3.0,1,1
2080277,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
